id,Periodo,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfoque
21,Mayo,F,ITI,3,4,2,3,2,1,3,3,1,5,3,1,1,3,4,1,2,1,1,1,3,5,3,5,1,4,4,3,5,1,5,4,3,1,5,2,4,4,4,4,2,2,"2,571428571","3,285714286",3,"3,142857143","3,142857143","1,857142857","2,857142857","3,214285714","2,428571429",Profundo
22,Mayo,M,IFI,1,5,5,2,4,5,5,5,5,1,5,4,3,3,5,5,5,3,4,5,4,1,5,2,1,2,3,5,5,5,1,3,5,3,5,5,3,5,2,1,5,5,"2,571428571",4,"4,142857143","2,571428571","4,857142857","4,142857143","2,571428571","4,428571429","4,142857143",Profundo
23,Mayo,F,IA,5,2,4,3,3,1,5,4,5,4,4,2,3,4,1,1,2,3,5,3,3,4,3,2,4,3,4,5,1,2,1,5,2,3,1,2,3,5,4,4,4,3,"3,714285714","3,714285714","3,285714286","3,428571429","2,571428571","2,142857143","3,571428571","3,142857143","2,714285714",Superficial
24,Mayo,F,LAD,2,4,3,4,5,1,4,5,5,2,5,1,5,5,5,2,5,4,5,4,2,4,5,2,5,5,1,5,5,4,5,5,2,4,2,4,5,5,1,2,5,5,"4,428571429","4,714285714","2,714285714","3,285714286","4,571428571",3,"3,857142857","4,642857143","2,857142857",Profundo
25,Mayo,M,ITI,5,2,5,1,2,4,5,5,5,5,4,3,5,1,5,1,3,5,5,1,5,2,3,3,3,5,3,3,3,3,3,3,5,3,3,5,2,4,1,3,3,1,4,3,"4,142857143","2,571428571",3,"3,428571429","3,285714286",3,"3,785714286",Logro
26,Mayo,F,LAF,4,4,5,3,2,2,3,3,5,4,3,1,4,5,4,3,4,2,3,1,2,3,3,1,3,4,3,4,2,2,4,5,2,2,1,2,5,5,2,2,3,5,"3,714285714","3,857142857","3,285714286",3,"2,571428571","2,142857143","3,357142857","3,214285714","2,714285714",Superficial
27,Mayo,F,ITI,1,5,4,1,3,1,4,5,4,3,4,2,5,3,4,2,3,3,4,3,5,2,5,1,2,5,1,5,2,2,5,5,4,1,2,2,5,5,2,1,5,2,"3,714285714","4,428571429","3,428571429","2,142857143","3,428571429","1,857142857","2,928571429","3,928571429","2,642857143",Profundo
28,Mayo,M,ISC,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,2,3,2,5,5,3,2,3,4,1,1,4,3,4,3,5,1,2,3,1,1,5,"3,571428571",4,"3,428571429","3,714285714","3,285714286","4,428571429","3,642857143","3,642857143","3,928571429",Logro
29,Mayo,F,ITI,4,3,5,2,1,4,3,2,5,1,5,4,5,5,5,4,3,5,4,3,4,4,5,4,3,4,5,4,5,3,5,4,5,4,5,5,4,3,5,4,4,5,4,"3,428571429","4,857142857","3,285714286",4,"4,285714286","3,642857143","3,714285714","4,571428571",Logro
30,Mayo,M,ITC,4,4,4,2,5,3,5,5,5,5,4,2,5,4,3,3,4,2,3,4,5,1,4,2,2,3,2,5,4,3,2,3,4,4,2,4,5,5,2,1,5,4,"3,714285714",4,"3,571428571",3,4,"2,857142857","3,357142857",4,"3,214285714",Profundo
